Name,Year,Platform,Platform_Generation,Platform_Company,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Pac-Man World,1998,PS,5th,Sony,1.21,0.14,0.1,1.5
Disney Sing It: Pop Hits,2009,Wii,7th,Nintendo,1.08,0.28,0,1.49
Final Fantasy: Crystal Chronicles,2003,GC,6th,Nintendo,0.72,0.38,0.36,1.49
Medal of Honor: Frontline,2002,XB,6th,Microsoft,1,0.43,0,1.49
Madden NFL 09,2008,PS2,6th,Sony,1.22,0,0,1.49
Banjo-Tooie,2000,N64,5th,Nintendo,0.82,0.36,0.25,1.49
Buzz! The BIG Quiz,2006,PS2,6th,Sony,0,1.1,0,1.49
007: Quantum of Solace,2008,X360,7th,Microsoft,0.82,0.52,0.01,1.49
The Sims 3,2010,Wii,7th,Nintendo,0.61,0.73,0,1.49
New Play Control! Mario Power Tennis,2009,Wii,7th,Nintendo,0.37,0.69,0.28,1.48
Dirge of Cerberus: Final Fantasy VII,2006,PS2,6th,Sony,0.47,0.37,0.52,1.48
WWF WrestleMania 2000,1999,N64,5th,Nintendo,1.2,0.25,0.02,1.48
Mass Effect 2,2011,PS3,7th,Sony,0.78,0.47,0.03,1.48
Major League Baseball 2K5,2005,PS2,6th,Sony,0.72,0.56,0,1.48
Fight Night 2004,2004,PS2,6th,Sony,1.08,0.2,0,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,XB,6th,Microsoft,0.82,0.59,0,1.48
SoulCalibur IV,2008,PS3,7th,Sony,0.72,0.41,0.14,1.47
Mario Golf,1999,N64,5th,Nintendo,0.62,0.18,0.65,1.47
Fight Night Round 3,2006,X360,7th,Microsoft,1.33,0.03,0.01,1.47
Metal Gear Rising: Revengeance,2013,PS3,7th,Sony,0.45,0.4,0.44,1.47
Star Wars: The Force Unleashed II,2010,X360,7th,Microsoft,0.95,0.4,0,1.47
The House of the Dead 2 & 3 Return,2008,Wii,7th,Nintendo,0.78,0.5,0.03,1.47
Xenogears,1998,PS,5th,Sony,0.29,0.19,0.89,1.46
Tom Clancy's Ghost Recon: Future Soldier,2012,X360,7th,Microsoft,0.93,0.4,0.02,1.46
Battlefield: Bad Company,2008,X360,7th,Microsoft,0.81,0.46,0.04,1.46
Midway Arcade Treasures,2003,PS2,6th,Sony,0.72,0.56,0,1.46
Homefront,2011,X360,7th,Microsoft,0.83,0.48,0.02,1.46
Super Monkey Ball,2001,GC,6th,Nintendo,0.95,0.37,0.1,1.46
Mortal Kombat 4,1998,PS,5th,Sony,0.81,0.55,0,1.46
Mario Superstar Baseball,2005,GC,6th,Nintendo,0.93,0.24,0.25,1.46
Mass Effect 3,2012,PS3,7th,Sony,0.63,0.59,0.03,1.46
LEGO Batman 2: DC Super Heroes,2012,Wii,7th,Nintendo,0.94,0.4,0,1.46
Medal of Honor: Warfighter,2012,PS3,7th,Sony,0.47,0.65,0.06,1.46
WCW vs the World,1998,PS,5th,Sony,1.17,0.2,0.04,1.46
Onimusha 3: Demon Siege,2004,PS2,6th,Sony,0.37,0.47,0.54,1.45
Diablo III,2013,X360,7th,Microsoft,0.89,0.44,0,1.45
Batman: Arkham Knight,2015,XOne,8th,Microsoft,0.86,0.46,0,1.45
BioShock,2008,PS3,7th,Sony,0.75,0.49,0.01,1.45
Red Dead Revolver,2004,PS2,6th,Sony,0.71,0.55,0,1.45
Resident Evil: Outbreak,2003,PS2,6th,Sony,0.54,0.35,0.46,1.45
Smarty Pants,2007,Wii,7th,Nintendo,0.53,0.76,0,1.45
Dragon Ball Z,1993,SNES,4th,Nintendo,0,0,1.45,1.45
Namco Museum 64,1999,N64,5th,Nintendo,1.24,0.17,0.03,1.45
Hasbro Family Game Night,2008,Wii,7th,Nintendo,0.97,0.34,0,1.45
Tony Hawk's American Wasteland (Weekly american sales),2005,PS2,6th,Sony,1.38,0.05,0,1.45
SingStar Pop,2007,PS2,6th,Sony,0.04,1.08,0,1.44
Kirby Super Star,1996,SNES,4th,Nintendo,0.26,0.07,1.09,1.44
Far Cry 4,2014,PS3,7th,Sony,0.33,0.79,0.08,1.44
WWE SmackDown vs Raw 2008,2007,X360,7th,Microsoft,0.92,0.38,0,1.44
Kinect Joy Ride,2010,X360,7th,Microsoft,0.92,0.4,0,1.44
Rayman Raving Rabbids,2006,Wii,7th,Nintendo,1.23,0.07,0.02,1.44
Need for Speed Rivals,2013,PS3,7th,Sony,0.33,0.74,0.05,1.44
Tiger Woods PGA Tour 2005,2004,PS2,6th,Sony,1.03,0.32,0,1.44
Dead Space 2,2011,PS3,7th,Sony,0.73,0.5,0,1.44
NCAA Football 2003,2002,PS2,6th,Sony,1.16,0.08,0,1.44
Frogger 2: Swampy's Revenge,1999,PS,5th,Sony,0.8,0.54,0,1.43
Disney Infinity,2013,X360,7th,Microsoft,0.96,0.37,0,1.43
LEGO Indiana Jones 2: The Adventure Continues,2009,Wii,7th,Nintendo,0.91,0.39,0,1.43
Sonic's Ultimate Genesis Collection,2009,X360,7th,Microsoft,0.85,0.46,0,1.43
Tiger Woods PGA Tour 09 All-Play,2008,Wii,7th,Nintendo,0.81,0.48,0,1.43
Triple Play 2000,1999,PS,5th,Sony,0.79,0.54,0,1.43
Cabela's Big Game Hunter,2002,PS2,6th,Sony,0.7,0.54,0,1.42
UFC Undisputed 2010,2010,PS3,7th,Sony,0.8,0.41,0.02,1.42
NBA Live 06 (Weekly american sales),2005,PS2,6th,Sony,1.35,0.05,0,1.42
NFL Street,2004,PS2,6th,Sony,1.15,0.08,0,1.42
Sonic Generations,2011,X360,7th,Microsoft,0.71,0.57,0,1.42
Super Metroid,1994,SNES,4th,Nintendo,0.57,0.12,0.71,1.42
Dead Space,2008,X360,7th,Microsoft,0.89,0.4,0,1.42
Resident Evil (Remake),2002,GC,6th,Nintendo,0.63,0.38,0.35,1.42
Tomb Raider (2013),2014,PS4,8th,Sony,0.47,0.64,0.06,1.41
Toy Story 3: The Video Game,2010,Wii,7th,Nintendo,0.64,0.63,0,1.41
Fight Night Round 4,2009,X360,7th,Microsoft,0.95,0.34,0,1.41
LEGO Star Wars: The Video Game,2005,GC,6th,Nintendo,1.09,0.28,0,1.41
Injustice: Gods Among Us,2013,X360,7th,Microsoft,0.97,0.34,0,1.41
Madden NFL 15,2014,PS3,7th,Sony,1.07,0.15,0,1.41
Disney's The Lion King,1994,GEN,4th,Sega,0.97,0.37,0.03,1.41
Metroid: Other M,2010,Wii,7th,Nintendo,0.87,0.31,0.13,1.41
Knockout Kings 2000,1999,PS,5th,Sony,1.02,0.34,0,1.41
Gran Turismo 4 Prologue,2003,PS2,6th,Sony,0,0.47,0.77,1.41
Twisted Metal: Black,2001,PS2,6th,Sony,1.19,0.17,0,1.41
"NASCAR 2005: Chase for the Cup",2004,PS2,6th,Sony,0.69,0.54,0,1.41
Call of Duty: Black Ops,2010,Wii,7th,Nintendo,0.82,0.47,0,1.4
Spider-Man: The Movie,2002,XB,6th,Microsoft,1.07,0.28,0,1.4
Need For Speed: Undercover,2008,PS2,6th,Sony,0.38,0.08,0.03,1.4
2Xtreme,1996,PS,5th,Sony,1.15,0.2,0,1.4
Far Cry 2,2008,PS3,7th,Sony,0.43,0.7,0.01,1.4
Colin McRae Rally 3,2002,PS2,6th,Sony,0.03,1.05,0.02,1.4
Madden NFL 2002,2001,PS,5th,Sony,0.78,0.53,0,1.39
Doom (2016),2016,PS4,8th,Sony,0.49,0.66,0.02,1.39
Deus Ex: Human Revolution,2011,PS3,7th,Sony,0.5,0.6,0.07,1.39
NBA Jam,1994,SNES,4th,Nintendo,1.19,0.16,0,1.39
Dynasty Warriors 5,2005,PS2,6th,Sony,0.24,0.18,0.91,1.39
Hannah Montana: Spotlight World Tour,2007,Wii,7th,Nintendo,0.87,0.38,0,1.39
WWE '13,2012,PS3,7th,Sony,0.51,0.62,0,1.39
Deus Ex: Human Revolution,2011,X360,7th,Microsoft,0.76,0.48,0.02,1.39
True Crime: Streets of LA,2003,XB,6th,Microsoft,0.96,0.37,0,1.38
Paper Mario,2000,N64,5th,Nintendo,0.58,0.18,0.59,1.38
Titanfall,2014,X360,7th,Microsoft,0.87,0.38,0.02,1.38
Duke Nukem: Time to Kill,1998,PS,5th,Sony,0.77,0.54,0,1.38
Dead Rising 2,2010,PS3,7th,Sony,0.43,0.57,0.15,1.38
Hasbro Family Game Night 2,2009,Wii,7th,Nintendo,0.71,0.53,0,1.38
Disney Princess: Enchanted Journey,2007,Wii,7th,Nintendo,1.24,0.04,0,1.38
Dave Mirra Freestyle BMX 2,2001,PS2,6th,Sony,0.67,0.53,0,1.38
Need for Speed: The Run,2011,X360,7th,Microsoft,0.63,0.58,0,1.38
LEGO Indiana Jones: The Original Adventures,2008,PS2,6th,Sony,0.6,0.01,0,1.37
Assassin's Creed: Rogue,2014,PS3,7th,Sony,0.46,0.62,0.06,1.37
Ridge Racer 7,2006,PS3,7th,Sony,0.24,0.7,0.16,1.37
A Collection of Activision Classic Games for the Atari 2600,1998,PS,5th,Sony,0.76,0.52,0,1.37
Forza Horizon 2,2014,XOne,8th,Microsoft,0.5,0.78,0.01,1.37
MotorStorm: Pacific Rift,2008,PS3,7th,Sony,0.43,0.67,0.02,1.37
Star Wars Knights of the Old Republic II: The Sith Lords,2004,XB,6th,Microsoft,0.99,0.33,0,1.37
LEGO Harry Potter: Years 1-4,2010,PS3,7th,Sony,0.55,0.6,0,1.37
Pocket Monsters Stadium,1998,N64,5th,Nintendo,0,0,1.37,1.37
NBA 2K15,2014,PS3,7th,Sony,0.86,0.27,0.02,1.36
Tom Clancy's Ghost Recon 2,2004,XB,6th,Microsoft,0.86,0.45,0,1.36
Burnout Paradise,2008,X360,7th,Microsoft,0.63,0.58,0.01,1.36
SingStar Abba,2008,PS2,6th,Sony,0.23,0.04,0,1.36
Dragon Quest III: Soshite Densetsu e...,1996,SNES,4th,Nintendo,0,0,1.36,1.36
Ryse: Son of Rome,2013,XOne,8th,Microsoft,0.82,0.42,0,1.36
Dead to Rights,2002,PS2,6th,Sony,0.67,0.52,0,1.36
Marvel vs. Capcom 3: Fate of Two Worlds,2011,PS3,7th,Sony,0.81,0.29,0.11,1.35
Dance Dance Revolution (Japan),1999,PS,5th,Sony,0,0,1.26,1.35
F1 2010,2010,PS3,7th,Sony,0.25,0.76,0.08,1.35
Madden NFL 98,1997,PS,5th,Sony,1.29,0.03,0,1.35
Alan Wake,2010,X360,7th,Microsoft,0.66,0.51,0.05,1.35
Battlefield: Bad Company,2008,PS3,7th,Sony,0.76,0.36,0.05,1.35
Mortal Kombat X,2015,XOne,8th,Microsoft,1,0.21,0,1.35
Samurai Warriors,2004,PS2,6th,Sony,0.22,0.05,1.06,1.35
The Simpsons: Hit & Run,2003,XB,6th,Microsoft,0.7,0.58,0,1.35
Devil May Cry 4,2008,X360,7th,Microsoft,0.79,0.34,0.08,1.35
Tom Clancy's Rainbow Six: Vegas 2,2008,PS3,7th,Sony,0.66,0.45,0.04,1.35
Crysis 2,2011,X360,7th,Microsoft,0.7,0.5,0.02,1.35
SaGa Frontier,1997,PS,5th,Sony,0.15,0.04,1.07,1.35
SingStar Party,2004,PS2,6th,Sony,0,1.04,0,1.35
FIFA Soccer 08,2007,X360,7th,Microsoft,0.31,0.89,0.01,1.35
The ICO & Shadow of the Colossus Collection,2011,PS3,7th,Sony,0.67,0.37,0.13,1.35
Test Drive,2002,PS2,6th,Sony,0.95,0.21,0.01,1.34
Lost Planet: Extreme Condition,2006,X360,7th,Microsoft,1.09,0.04,0.1,1.34
Mortal Kombat 3,1994,GEN,4th,Sega,1.03,0.27,0,1.34
Doom 3,2005,XB,6th,Microsoft,0.85,0.43,0,1.34
Donkey Kong Jungle Beat,2004,GC,6th,Nintendo,0.84,0.22,0.24,1.34
Need for Speed Carbon,2006,PS2,6th,Sony,1.22,0.05,0.05,1.34
Max Payne 2: The Fall of Max Payne,2003,PS2,6th,Sony,0.65,0.51,0,1.34
MVP Baseball 2004,2004,PS2,6th,Sony,1.1,0.06,0,1.34
WWE SmackDown vs Raw 2008,2007,PS3,7th,Sony,0.62,0.5,0.01,1.33
Ratchet & Clank: Up Your Arsenal (Weekly american sales),2004,PS2,6th,Sony,1.27,0.05,0,1.33
Your Shape: Fitness Evolved,2010,X360,7th,Microsoft,0.79,0.42,0,1.33
Rage,2011,PS3,7th,Sony,0.47,0.59,0.06,1.33
Skylanders SWAP Force,2013,X360,7th,Microsoft,0.86,0.36,0,1.33
NBA 2K14,2013,PS4,8th,Sony,0.89,0.31,0.01,1.33
WWF War Zone,1998,N64,5th,Nintendo,1.08,0.24,0,1.33
Triple Play 2001,2000,PS,5th,Sony,0.74,0.5,0,1.33
Metroid Prime 2: Echoes,2004,GC,6th,Nintendo,0.87,0.35,0.07,1.33
UFC Undisputed 2010,2010,X360,7th,Microsoft,0.9,0.31,0,1.33
Final Fantasy X / X-2 HD Remaster,2013,PS3,7th,Sony,0.43,0.4,0.32,1.33
Corvette,2004,PS2,6th,Sony,0.65,0.51,0,1.33
Middle-Earth: Shadow of Mordor,2014,XOne,8th,Microsoft,0.72,0.5,0.01,1.32
LEGO Batman: The Videogame,2008,PS3,7th,Sony,0.72,0.42,0,1.32
Dark Souls II,2014,PS3,7th,Sony,0.4,0.36,0.4,1.32
Kingdom Hearts II,2014,PS3,7th,Sony,0.52,0.43,0.18,1.32
The LEGO Movie Videogame,2014,X360,7th,Microsoft,0.69,0.52,0,1.32
TOCA 2: Touring Cars,1998,PS,5th,Sony,0.03,1.16,0.02,1.32
NFL 2K3,2002,PS2,6th,Sony,1.06,0.08,0,1.32
Fighting Force,1997,PS,5th,Sony,0.73,0.5,0,1.32
MAG: Massive Action Game,2010,PS3,7th,Sony,0.77,0.3,0.09,1.32
Madden NFL 97,1996,PS,5th,Sony,0.73,0.5,0,1.32
Skylanders Giants,2012,X360,7th,Microsoft,0.75,0.45,0,1.32
TNN Motor Sports Hardcore 4x4,1996,PS,5th,Sony,0.73,0.5,0,1.31
IHRA Drag Racing 2,2002,PS2,6th,Sony,0.64,0.5,0,1.31
The Beatles: Rock Band,2009,X360,7th,Microsoft,0.97,0.23,0,1.31
Tekken 6,2009,X360,7th,Microsoft,0.71,0.42,0.05,1.31
[Prototype],2009,X360,7th,Microsoft,0.84,0.35,0,1.31
Deal or No Deal,2009,Wii,7th,Nintendo,1.22,0,0,1.31
Madagascar,2005,PS2,6th,Sony,0.78,0.45,0,1.31
Rugrats Studio Tour,1999,PS,5th,Sony,0.57,0.67,0,1.31
Turok: Evolution,2002,PS2,6th,Sony,0.64,0.5,0,1.31
High School Musical 3: Senior Year DANCE!,2008,Wii,7th,Nintendo,0.68,0.49,0,1.31
Gold's Gym: Cardio Workout,2008,Wii,7th,Nintendo,1.11,0.04,0.06,1.31
Burnout 3: Takedown,2004,XB,6th,Microsoft,0.84,0.43,0,1.31
Crysis 2,2011,PS3,7th,Sony,0.45,0.57,0.06,1.3
NBA Live 07,2006,PS2,6th,Sony,1.07,0.04,0.02,1.3
Saints Row IV,2013,PS3,7th,Sony,0.56,0.44,0.09,1.3
SingStar '80s,2005,PS2,6th,Sony,0.27,0.02,0,1.3
EA Playground,2007,Wii,7th,Nintendo,0.69,0.48,0,1.3
Test Drive 5,1997,PS,5th,Sony,1.05,0.2,0,1.3
Romancing SaGa 3,1995,SNES,4th,Nintendo,0,0,1.29,1.3
EA Sports Active 2,2010,Wii,7th,Nintendo,0.78,0.4,0,1.3
Digimon World,1999,PS,5th,Sony,0.56,0.38,0.28,1.3
Rise of the Tomb Raider,2015,XOne,8th,Microsoft,0.53,0.64,0.02,1.3
Need for Speed Carbon,2006,Wii,7th,Nintendo,0.46,0.66,0.02,1.29
Yoshi's Woolly World,2015,WiiU,8th,Nintendo,0.61,0.47,0.11,1.29
FIFA Street,2012,PS3,7th,Sony,0.11,0.92,0,1.29
Resident Evil Zero,2002,GC,6th,Nintendo,0.54,0.27,0.45,1.29
Need for Speed: Most Wanted,2005,X360,7th,Microsoft,1,0.17,0.02,1.29
Tom Clancy's Rainbow Six: Siege,2015,XOne,8th,Microsoft,0.73,0.44,0,1.29
Transformers,2004,PS2,6th,Sony,0.63,0.49,0,1.29
Guitar Hero: Aerosmith,2008,Wii,7th,Nintendo,1.04,0.14,0,1.29
Valkyria Chronicles,2008,PS3,7th,Sony,0.71,0.2,0.24,1.29
Midnight Club 3: DUB Edition (America weekly sales),2005,PS2,6th,Sony,1.22,0.05,0,1.29
Champions of Norrath,2004,PS2,6th,Sony,0.63,0.49,0,1.28
Watch Dogs,2014,X360,7th,Microsoft,0.72,0.45,0.01,1.28
Metal Gear Solid V: Ground Zeroes,2014,PS4,8th,Sony,0.45,0.46,0.17,1.28
Assassin's Creed Syndicate,2015,XOne,8th,Microsoft,0.61,0.56,0,1.28
Army Men 3D,1999,PS,5th,Sony,1.1,0.14,0,1.28
WWE '13,2012,X360,7th,Microsoft,0.72,0.45,0,1.28
Twisted Metal 4,1999,PS,5th,Sony,1.07,0.16,0,1.28
Manhunt,2003,PS2,6th,Sony,0.63,0.49,0,1.28
Silent Hill 2,2001,PS2,6th,Sony,0.62,0.49,0,1.28
Tomb Raider: Underworld,2008,PS3,7th,Sony,0.45,0.56,0.05,1.27
Castlevania: Symphony of the Night,1997,PS,5th,Sony,0.58,0.4,0.21,1.27
LEGO Batman: The Videogame,2008,PS2,6th,Sony,0.72,0.03,0,1.27
Road Rash,1995,PS,5th,Sony,0.71,0.48,0,1.27
NBA 2K9,2008,X360,7th,Microsoft,1,0.16,0,1.27
WWE '12,2011,X360,7th,Microsoft,0.74,0.4,0,1.27
Tony Hawk's Underground,2003,XB,6th,Microsoft,0.85,0.37,0,1.27
The Elder Scrolls Online,2015,XOne,8th,Microsoft,0.77,0.38,0,1.27
Jillian Michaels' Fitness Ultimatum 2009,2008,Wii,7th,Nintendo,0.96,0.2,0,1.27
.hack//Infection Part 1,2002,PS2,6th,Sony,0.49,0.38,0.26,1.27
Rockstar Games presents Table Tennis,2007,Wii,7th,Nintendo,0.39,0.73,0,1.27
Sonic Adventure DX: Director's Cut,2003,GC,6th,Nintendo,0.87,0.3,0.06,1.27
Jet Li: Rise to Honor,2004,PS2,6th,Sony,0.62,0.48,0,1.27
Battle Arena Toshinden,1994,PS,5th,Sony,0.39,0.26,0.53,1.27
Devil Dice,1998,PS,5th,Sony,0.05,0.03,1.1,1.26
Hyrule Warriors,2014,WiiU,8th,Nintendo,0.61,0.42,0.13,1.26
Need for Speed Carbon,2006,PS3,7th,Sony,0.49,0.52,0.03,1.26
Brian Lara Cricket,1998,PS,5th,Sony,0.02,1.13,0.01,1.26
Wheel of Fortune,1998,PS,5th,Sony,0.99,0.22,0,1.26
LEGO The Lord of the Rings,2012,X360,7th,Microsoft,0.63,0.51,0,1.26
Winter Sports: The Ultimate Challenge,2007,Wii,7th,Nintendo,0.45,0.68,0,1.26
SOCOM: U.S. Navy SEALs Confrontation,2008,PS3,7th,Sony,0.94,0.17,0.02,1.25
NBA Live 2001,2000,PS,5th,Sony,0.7,0.47,0,1.25
Star Wars: The Force Unleashed,2008,PS2,6th,Sony,0.49,0,0.01,1.25
Tom Clancy's Rainbow Six: Vegas,2007,PS3,7th,Sony,0.47,0.53,0.03,1.25
Reel Fishing,1996,PS,5th,Sony,0.99,0.13,0.1,1.25
Injustice: Gods Among Us,2013,PS3,7th,Sony,0.48,0.53,0.01,1.25
Pokemon XD: Gale of Darkness,2005,GC,6th,Nintendo,0.71,0.19,0.31,1.25
Black,2006,PS2,6th,Sony,1.01,0.04,0.03,1.25
Lara Croft Tomb Raider: The Angel of Darkness,2003,PS2,6th,Sony,0.61,0.48,0,1.25
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,PS2,6th,Sony,0.52,0.56,0,1.25
Road Rash 3D,1998,PS,5th,Sony,1.05,0.16,0,1.25
Ratchet: Deadlocked,2005,PS2,6th,Sony,0.85,0.03,0.22,1.24
Baldur's Gate: Dark Alliance,2001,PS2,6th,Sony,0.61,0.48,0,1.24
Tales of Xillia,2011,PS3,7th,Sony,0.29,0.19,0.67,1.24
[Prototype],2009,PS3,7th,Sony,0.65,0.41,0,1.24
Oddworld: Abe's Oddysee,1997,PS,5th,Sony,0.75,0.44,0,1.24
The Witcher 3: Wild Hunt,2015,XOne,8th,Microsoft,0.66,0.47,0,1.24
Ridge Racer V,2000,PS2,6th,Sony,0.24,0.19,0.75,1.24
WWE SmackDown vs. Raw 2009,2008,PS2,6th,Sony,0.69,0,0,1.24
Star Wars Episode III: Revenge of the Sith,2005,XB,6th,Microsoft,0.82,0.38,0,1.24
Ben 10: Protector of Earth,2007,Wii,7th,Nintendo,0.55,0.55,0,1.23
Frogger: The Great Quest,2001,PS2,6th,Sony,0.6,0.47,0,1.23
2010 FIFA World Cup South Africa,2010,PS3,7th,Sony,0.3,0.64,0.07,1.23
Ninja Gaiden,2004,XB,6th,Microsoft,0.92,0.2,0.07,1.23
Crash Bandicoot: The Wrath of Cortex,2002,XB,6th,Microsoft,0.59,0.57,0,1.23
Driv3r,2004,PS2,6th,Sony,0.6,0.47,0,1.23
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,2003,PS,5th,Sony,0.69,0.47,0,1.23
Guitar Hero: Aerosmith,2008,X360,7th,Microsoft,1,0.14,0,1.23
Medal of Honor: Airborne,2007,PS3,7th,Sony,0.25,0.7,0.03,1.23
Vigilante 8,1998,PS,5th,Sony,0.68,0.47,0,1.23
Bayonetta,2009,PS3,7th,Sony,0.44,0.41,0.21,1.23
Madden NFL 17,2016,PS4,8th,Sony,0.92,0.08,0,1.23
Boom Blox,2008,Wii,7th,Nintendo,0.72,0.38,0,1.23
The Sims 2: Castaway,2007,Wii,7th,Nintendo,0.45,0.64,0,1.23
LEGO Batman 2: DC Super Heroes,2012,PS3,7th,Sony,0.5,0.53,0,1.22
Naruto Shippuden: Ultimate Ninja Storm 2,2010,PS3,7th,Sony,0.42,0.47,0.15,1.22
Mario Power Tennis,2004,GC,6th,Nintendo,0.58,0.16,0.46,1.22
Intelligent Qube,1997,PS,5th,Sony,0.13,0.07,1,1.22
Parfait: Chocolat Second Style,2006,PS2,6th,Sony,0.59,0.46,0.01,1.22
F1 2011,2011,PS3,7th,Sony,0.12,0.75,0.11,1.22
NBA Live 99,1997,PS,5th,Sony,1.13,0.05,0,1.22
Chocobo no Fushigi Dungeon,1997,PS,5th,Sony,0,0,1.14,1.22
SimCity 2000,1996,PS,5th,Sony,0.68,0.46,0,1.22
Max Payne,2001,XB,6th,Microsoft,0.98,0.19,0,1.22
WCW Mayhem,1998,PS,5th,Sony,0.68,0.46,0,1.22
NBA 2K2,2002,PS2,6th,Sony,0.59,0.46,0.01,1.22
Cars,2006,PS2,6th,Sony,1.01,0.04,0,1.21
Fuzion Frenzy,2001,XB,6th,Microsoft,0.93,0.24,0,1.21
Call of Duty: Finest Hour,2004,XB,6th,Microsoft,0.78,0.4,0,1.21
Sly Cooper and the Thievius Raccoonus,2002,PS2,6th,Sony,1.03,0.14,0,1.21
The Magical Quest starring Mickey Mouse,1992,SNES,4th,Nintendo,0.66,0.17,0.35,1.21
Dragon Quest IV: Michibikareshi Monotachi,2001,PS,5th,Sony,0,0,1.2,1.21
Star Wars Episode 1: Jedi Power Battles,1999,PS,5th,Sony,0.66,0.48,0.01,1.21
Dino Crisis 2,2000,PS,5th,Sony,0.34,0.49,0.28,1.21
Need for Speed Underground,2003,GC,6th,Nintendo,0.69,0.48,0.01,1.21
Test Drive 4,1997,PS,5th,Sony,0.67,0.46,0,1.21
The Lord of the Rings: The Fellowship of the Ring,2002,PS2,6th,Sony,0.59,0.46,0,1.2
LEGO Star Wars III: The Clone Wars,2011,PS3,7th,Sony,0.52,0.49,0,1.2
ATV Offroad Fury 3,2004,PS2,6th,Sony,1,0.04,0,1.2
Pikmin 2,2004,GC,6th,Nintendo,0.48,0.13,0.56,1.2
Just Dance 2016,2015,Wii,7th,Nintendo,0.52,0.59,0,1.2
Disney Sing It,2008,Wii,7th,Nintendo,0.77,0.31,0,1.2
Battlefield: Hardline,2015,XOne,8th,Microsoft,0.72,0.37,0.01,1.2
WWE 2K16,2015,PS4,8th,Sony,0.41,0.6,0,1.2
Dragon Ball Z: La Legende Saien,1993,SNES,4th,Nintendo,0,0,1.2,1.2
NFL 2K,1999,DC,6th,Sega,1.12,0.05,0,1.2
Enter the Matrix,2003,XB,6th,Microsoft,0.72,0.43,0.01,1.2
NHL 2002,2001,PS2,6th,Sony,0.59,0.46,0,1.2
PokéPark Wii: Pikachu's Adventure,2009,Wii,7th,Nintendo,0.55,0.17,0.42,1.2
One Piece: Pirate Warriors,2012,PS3,7th,Sony,0.01,0.24,0.86,1.2
WWE 2K14,2013,PS3,7th,Sony,0.49,0.49,0,1.19
Nuclear Strike,1997,PS,5th,Sony,0.66,0.45,0,1.19
Captain Toad: Treasure Tracker,2014,WiiU,8th,Nintendo,0.56,0.36,0.19,1.19
Pro Evolution Soccer 2008,2008,Wii,7th,Nintendo,0.09,0.84,0.11,1.19
Scarface: The World is Yours,2006,PS2,6th,Sony,0.99,0.04,0,1.19
Kobe Bryant in NBA Courtside,1998,N64,5th,Nintendo,1.02,0.13,0.04,1.19
The Dukes of Hazzard: Racing for Home,1999,PS,5th,Sony,0.99,0.16,0,1.19
FIFA 14,2013,XOne,8th,Microsoft,0.41,0.66,0,1.19
Spider-Man: The Movie,2002,GC,6th,Nintendo,0.86,0.27,0.01,1.19
NBA 2K17,2016,PS4,8th,Sony,0.83,0.14,0,1.19
Just Dance 4,2012,X360,7th,Microsoft,0.9,0.2,0,1.19
Metal Gear Solid VR Missions,1999,PS,5th,Sony,0.66,0.45,0,1.18
Resident Evil: Operation Raccoon City,2012,PS3,7th,Sony,0.48,0.25,0.36,1.18
Shenmue,1999,DC,6th,Sega,0.52,0.24,0.38,1.18
WWE '12,2011,PS3,7th,Sony,0.53,0.46,0.02,1.18
WWE SmackDown vs. Raw 2010,2009,PS3,7th,Sony,0.48,0.49,0.01,1.18
Sonic the Hedgehog,2006,PS3,7th,Sony,0.41,0.07,0.04,1.18
Super Ghouls 'n Ghosts,1991,SNES,4th,Nintendo,0.5,0.14,0.52,1.18
Soviet Strike,1996,PS,5th,Sony,0.65,0.44,0,1.17
Your Shape: Fitness Evolved 2012,2011,X360,7th,Microsoft,0.7,0.37,0,1.17
Army of Two,2008,PS3,7th,Sony,0.74,0.26,0.02,1.17
Gun,2005,PS2,6th,Sony,0.98,0.04,0,1.17
Ty the Tasmanian Tiger,2002,PS2,6th,Sony,0.57,0.45,0,1.17
Wario Land: Shake It!,2008,Wii,7th,Nintendo,0.6,0.31,0.15,1.17
Medal of Honor: Warfighter,2012,X360,7th,Microsoft,0.58,0.47,0.01,1.17
Ratchet & Clank (2016),2016,PS4,8th,Sony,0.32,0.64,0.04,1.17
Mission: Impossible,1997,N64,5th,Nintendo,0.74,0.38,0.02,1.17
Romancing SaGa 2,1993,SNES,4th,Nintendo,0,0,1.17,1.17
Cabela's Dangerous Hunts,2003,PS2,6th,Sony,0.57,0.45,0,1.17
Cool Boarders 4,1998,PS,5th,Sony,0.65,0.44,0,1.17
Rage Racer,1996,PS,5th,Sony,0.16,0.11,0.83,1.17
Medal of Honor: Rising Sun,2003,XB,6th,Microsoft,0.76,0.36,0,1.17
Destruction Derby 2,1996,PS,5th,Sony,0.65,0.44,0,1.17
Mirror's Edge,2008,X360,7th,Microsoft,0.51,0.51,0.01,1.17
Destiny: The Taken King,2015,XOne,8th,Microsoft,0.82,0.23,0,1.17
007: Quantum of Solace,2008,PS3,7th,Sony,0.43,0.52,0.02,1.16
EA Sports Active: More Workouts,2009,Wii,7th,Nintendo,0.78,0.28,0,1.16
